к.т,дата,Массовая доля сульфатов  мг/дм3 (SO4),Массовая доля жиров мг/дм3,Водородный показатель (рН) ед.рН,БПК5 мг/дм3,ХПК мгО/дм3,Фосфаты мг/дм3 (РО4),Взвешенные вещества мг/дм3,Аммонийный азот мг/дм3,Нитраты мг/дм3,Хлориды мг/дм3,Калий мг/дм3,Натрий мг/дм3,Литий мг/дм3,Магний мг/дм3,Кальций мг/дм3,Стронций мг/дм3,Цинк мг/дм3,Марганец мг/дм3,Нитриты мг/дм3,Фторид-ион мг/дм3,Барий мг/кг,,,
1 к.т.,2019,более 105,1080,6.94,1139,2033,10.58,560,более 300,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
2 к.т.,2019,72.3,37.4,6.9,535,1736,более  40,1080,более 300,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
1 к.т.,2021,326.4,80,8.4,74.1,167,Менее 001,112.8,22,-,535.5,-,-,-,-,-,-,-,-,-,-,-,,,
2 к.т.,2021,195.7,120,6.9,260,424,540.8,253.4,69.2,-,669,-,-,-,-,-,-,-,-,-,-,-,,,
3 к.т.,2021,166.3,80,6.9,263,466,736.4,500.2,73.9,-,724.5,-,-,-,-,-,-,-,-,-,-,-,,,
1 к.т,04.05.2022,357.5,18640,7.5,937,1586,184,790,23.94,31.6,693.4,96.43,809.5,51.06,269.2,130.3,-,0.32,0.52,-,-,-,,,
2 к.т,04.05.2022,68.17,7760,9,342,950,115.2,250,125.3,50.08,625,128.9,733,-,86.1,167.5,93.8,0.3,0.56,-,-,-,,,
1 к.т,06.06.2022,128.7,50.1,7.31,446,1360,0.1,900,39.4,2.57,686.7,43.6,664.2,-,75.6,128.9,-,0.04,0.07,-,-,-,,,
2 к.т,06.06.2022,333.3,110,7.36,199,540,2.6,880,52.9,0.53,598.2,20.9,717.7,-,86.6,93.1,-,0.08,0.07,-,-,-,,,
3 к.т,06.06.2022,100,40,7.34,114,275,3.4,270,63.7,10.9,621.2,28.2,630.4,-,70.3,126.3,-,0.11,0.16,-,-,-,,,
4 к.т,06.06.2022,88.4,50.1,7.37,182,380,2.35,210,50.5,32.62,499.7,25.5,581.7,-,64.8,102.7,-,0.15,0.1,-,-,-,,,
1 к.т,06.07.2022,230.1,100,6.4,484,976,7.75,855,12.7,-,370.1,10.6,342.6,-,59.6,103.7,0.41,0.03,0.21,0.48,0.2,0.01,,,
2 к.т,06.07.2022,138.1,384.1,6.7,690,1385,31,125.2,22.5,6.89,434.7,32.4,544.3,-,74.3,143,0.07,0.47,0.37,0.29,-,-,,,
3 к.т,06.07.2022,117,101.6,6.9,255,410,24.9,1187.2,74.6,4.2,510.2,31.9,584,-,69,134.1,0.57,0.37,0.23,0.18,-,-,,,
4 к.т,06.07.2022,86,259.2,7.2,219,420,27.2,1566.4,78.3,8.92,520.2,35.2,626.6,-,71.2,129.2,-,0.51,0.29,0.43,-,-,,,
1 к.т,04.08.2022,306.8,58,6.12,570,1174,6.65,183.2,20.26,125.9,492.5,20.77,473.5,-,71.45,139.4,0.35,0.71,1.4,-,10.18,1.7,,,
2 к.т,04.08.2022,270.1,12.1,6.9,208,403,30.74,777.6,37.34,0.45,668.3,29.77,669.1,-,88.12,183.1,1.46,1.14,2.006,0.89,0.09,-,,,
3 к.т,04.08.2022,116.7,34.56,6.8,248,498,27.8,143.6,87.6,-,798,49.04,704.5,0.008,94.3,208.7,0.3,1.12,7.16,1.26,0.1,2.53,,,
4 к.т,04.08.2022,88.95,38.4,6.8,254,518,27.65,283.2,94.2,-,814.2,48.8,716.2,0.019,94.8,201.1,0.288,1.014,3.9,1.324,0.58,2.18,,,
Норматив,,500,0,60-90,4,30,0.2,075 (+025 к фону болота),1.5,45,350,30,200,0.03,50,3.5,7,5,0.1,-,-,-,,,
