,к.т,дата,Массовая доля сульфатов  мг/дм3 (SO4),Массовая доля жиров мг/дм3,Водородный показатель (рН) ед.рН,БПК5 мг/дм3,ХПК мгО/дм3,Фосфаты мг/дм3 (РО4),Взвешенные вещества мг/дм3,Аммонийный азот мг/дм3,Нитраты мг/дм3,Хлориды мг/дм3,Калий мг/дм3,Натрий мг/дм3,Литий мг/дм3,Магний мг/дм3,Кальций мг/дм3,Стронций мг/дм3,Цинк мг/дм3,Марганец мг/дм3,Нитриты мг/дм3,Фторид-ион мг/дм3,Барий мг/кг
0,1,2022-05-04,357.5,18640.0,7.5,937.0,1586.0,184.0,790.0,23.94,31.6,693.4,96.43,809.5,51.06,269.2,130.3,,0.32,0.52,,,
1,2,2022-05-04,68.17,7760.0,9.0,342.0,950.0,115.2,250.0,125.3,50.08,625.0,128.9,733.0,,86.1,167.5,93.8,0.3,0.56,,,
2,1,2022-06-06,128.7,50.1,7.31,446.0,1360.0,0.1,900.0,39.4,2.57,686.7,43.6,664.2,,75.6,128.9,,0.04,0.07,,,
3,2,2022-06-06,333.3,110.0,7.36,199.0,540.0,2.6,880.0,52.9,0.53,598.2,20.9,717.7,,86.6,93.1,,0.08,0.07,,,
4,3,2022-06-06,100.0,40.0,7.34,114.0,275.0,3.4,270.0,63.7,10.9,621.2,28.2,630.4,,70.3,126.3,,0.11,0.16,,,
5,4,2022-06-06,88.4,50.1,7.37,182.0,380.0,2.35,210.0,50.5,32.62,499.7,25.5,581.7,,64.8,102.7,,0.15,0.1,,,
6,1,2022-07-06,230.1,100.0,6.4,484.0,976.0,7.75,855.0,12.7,,370.1,10.6,342.6,,59.6,103.7,0.41,0.03,0.21,0.48,0.2,0.01
7,2,2022-07-06,138.1,384.1,6.7,690.0,1385.0,31.0,125.2,22.5,6.89,434.7,32.4,544.3,,74.3,143.0,0.07,0.47,0.37,0.29,,
8,3,2022-07-06,117.0,101.6,6.9,255.0,410.0,24.9,1187.2,74.6,4.2,510.2,31.9,584.0,,69.0,134.1,0.57,0.37,0.23,0.18,,
9,4,2022-07-06,86.0,259.2,7.2,219.0,420.0,27.2,1566.4,78.3,8.92,520.2,35.2,626.6,,71.2,129.2,,0.51,0.29,0.43,,
10,1,2022-08-04,306.8,58.0,6.12,570.0,1174.0,6.65,183.2,20.26,125.9,492.5,20.77,473.5,,71.45,139.4,0.35,0.71,1.4,,10.18,1.7
11,2,2022-08-04,270.1,12.1,6.9,208.0,403.0,30.74,777.6,37.34,0.45,668.3,29.77,669.1,,88.12,183.1,1.46,1.14,2.006,0.89,0.09,
12,3,2022-08-04,116.7,34.56,6.8,248.0,498.0,27.8,143.6,87.6,,798.0,49.04,704.5,0.008,94.3,208.7,0.3,1.12,7.16,1.26,0.1,2.53
13,4,2022-08-04,88.95,38.4,6.8,254.0,518.0,27.65,283.2,94.2,,814.2,48.8,716.2,0.019,94.8,201.1,0.288,1.014,3.9,1.324,0.58,2.18
14,4,2022-09-07,78.8,38.4,6.5,420.0,1040.0,7.4,286.4,66.3,,511.4,32.53,812.1,0.019,109.2,109.6,0.728,0.71,2.56,,,2.59
15,3,2022-09-07,91.12,174.0,8.1,271.0,500.0,,1254.4,67.5,,555.1,28.9,811.5,0.013,105.5,167.3,0.55,0.88,5.4,,,2.5
16,1,2022-09-07,241.9,24.0,8.2,205.0,420.0,,14.0,1.12,158.8,368.3,9.5,481.5,,91.8,165.2,1.7,0.17,0.95,,,3.03
17,2,2022-09-07,99.47,8.6,7.8,190.0,440.0,,370.4,39.9,,403.5,33.08,840.3,0.02,110.2,141.2,0.58,0.24,1.14,,,2.5
18,1,2022-10-11,421.8,48.2,7.3,105.0,234.0,305.2,240.0,0.15,,624.0,11.34,585.1,0.13,96.8,159.2,0.61,0.56,0.26,,,2.39
19,2,2022-10-11,303.4,25.0,6.9,197.0,478.0,590.4,195.2,18.8,,624.5,22.39,600.7,0.17,87.95,153.1,0.28,0.9,0.29,,,
20,3,2022-10-11,126.3,52.5,6.9,345.0,657.0,8.43,194.0,59.91,6.08,715.7,41.25,664.4,,90.83,183.7,0.86,0.21,0.35,,,
21,4,2022-10-11,140.9,116.8,6.8,284.0,527.0,7.72,204.0,50.16,,716.2,35.51,644.8,,85.63,151.4,0.22,0.32,0.34,,,1.14
22,5,2022-10-11,58.19,91.4,7.4,,,1.42,51.2,1.09,,904.0,3.17,672.0,,108.6,127.7,0.9,0.77,0.97,0.55,,
